recipe_id,recipe_name,ingredients_joined
1,Apple-Cranberry Crostada,"3 tablespoons butter||2 pounds Granny Smith apples (or other firm, crisp apples), peeled, quartered, cored and sliced 1/4-inch thick||1 pound Macintosh apples (or other soft-textured apples that fall apart when cooked), peeled, quartered, cored, and sliced 1/4-inch thick||1/2 cup sugar||1/2 cup dried cranberries||1 sheet frozen puff pastry, thawed but still cold (follow package directions)||1 egg white, lightly beaten||1 tablespoon sugar||1 cup Optional: Ice cream or lightly sweetened whipped cream"
2,Apple Pie by Grandma Ople,"8 small Granny Smith apples, or as needed||1/2 cup unsalted butter||3 tablespoons all-purpose flour||1/2 cup white sugar||1/2 cup packed brown sugar||1/4 cup water||1 (9 inch) double-crust pie pastry, thawed"
3,Sarah's Homemade Applesauce,"4 apples - peeled, cored and chopped||3/4 cup water||1/4 cup white sugar||1/2 teaspoon ground cinnamon"
4,Apple Crisp,"10 cups all-purpose apples, peeled, cored and sliced||1 cup white sugar||1 tablespoon all-purpose flour||1 teaspoon ground cinnamon||1/2 cup water||1 cup quick-cooking oats||1 cup all-purpose flour||1 cup packed brown sugar||1/4 teaspoon baking powder||1/4 teaspoon baking soda||1/2 cup butter, melted"
5,Apple Pie Filling,18 cups thinly sliced apples||3 tablespoons lemon juice||10 cups water||4 1/2 cups white sugar||1 cup cornstarch||2 teaspoons ground cinnamon||1 teaspoon salt||1/4 teaspoon ground nutmeg
6,Easy Apple Crisp with Oat Topping,"6 apples - peeled, cored, and sliced||2 tablespoons white sugar||1 1/2 teaspoons ground cinnamon, divided||1 cup brown sugar||3/4 cup old-fashioned oats||3/4 cup all-purpose flour||1/2 cup cold butter"
7,Easy Apple Cider,1 (64 fluid ounce) bottle apple cider||3 cinnamon sticks||1 teaspoon whole allspice||1 teaspoon whole cloves||1/3 cup brown sugar
8,Apple-Cranberry Crisp,"2 pounds Granny Smith apples - peeled, cored and thinly sliced||3/4 cup cranberries||1/4 cup white sugar||1 tablespoon ground cinnamon||1 teaspoon ground nutmeg"
9,Old-Fashioned Apple Dumplings,"1 recipe pastry for double-crust pie||6 large Granny Smith apples, peeled and cored||1/2 cup butter||3/4 cup brown sugar||1 teaspoon ground cinnamon||1/2 teaspoon ground nutmeg||3 cups water||2 cups white sugar||1 teaspoon vanilla extract"
10,Southern Fried Apples,"1/2 cup butter||1/2 cup white sugar||2 tablespoons ground cinnamon||4 Granny Smith apples - peeled, cored, and sliced"
11,Apple Turnovers,"2 tablespoons lemon juice||4 cups water||4 Granny Smith apples - peeled, cored and sliced||2 tablespoons butter||1 cup brown sugar||1 teaspoon ground cinnamon||1 tablespoon cornstarch||1 tablespoon water||1 (17.25 ounce) package frozen puff pastry sheets, thawed||1 cup confectioners' sugar||1 tablespoon milk||1 teaspoon vanilla extract"
12,Apple Crisp - Perfect and Easy,"2 1/2 cups apples - peeled, cored, and sliced||1 cup sifted all-purpose flour||1 cup white sugar||1/2 teaspoon ground cinnamon||1/4 teaspoon salt||1/2 cup butter, softened"
13,The Best Caramel Apples,8 large tart apples||8 wooden chopsticks for handles||2 cups packed brown sugar||1 (14 ounce) can sweetened condensed milk||1 cup light corn syrup||1 cup butter||2 teaspoons vanilla extract
14,Mulligatawny Soup,"1/2 cup chopped onion||2 stalks celery, chopped||1 carrot, diced||1/4 cup butter||1 1/2 tablespoons all-purpose flour||1 1/2 teaspoons curry powder||4 cups chicken broth||1/2 apple, cored and chopped||1/4 cup white rice||1 skinless, boneless chicken breast half - cut into cubes||1 pinch dried thyme, salt and ground black pepper to taste||1/2 cup heavy cream, heated"
15,Sauteed Apples,"1/4 cup butter||4 large tart apples - peeled, cored and sliced 1/4 inch thick||1/2 cup cold water||2 teaspoons cornstarch||1/2 cup brown sugar||1/2 teaspoon ground cinnamon"
16,Homemade Apple Cider,"10 large apples, quartered, water, to cover||3/4 cup white sugar||1 tablespoon ground cinnamon||1 tablespoon ground allspice"
17,Canned Apple Pie Filling,4 1/2 cups white sugar||1 cup cornstarch||2 teaspoons ground cinnamon||1/4 teaspoon ground nutmeg||10 cups water||2 teaspoons salt||3 tablespoons lemon juice||2 drops yellow food coloring||6 pounds apples
18,Easy Apple Pie,"1 (14.1 ounce) package pastry for a 9-inch double-crust pie||3/4 cup white sugar, or more to taste||1 teaspoon ground cinnamon||6 cups thinly sliced apples||1 tablespoon butter"
19,Apple Crumb Pie,6 cups thinly sliced apples||1 tablespoon lemon juice (Optional)||3/4 cup white sugar||2 tablespoons all-purpose flour||1/2 teaspoon ground cinnamon||1/8 teaspoon ground nutmeg||1/2 cup raisins (Optional)||1/2 cup chopped walnuts (Optional)||1 (9 inch) pie shell||1/2 cup all-purpose flour||1/2 cup packed brown sugar||3 tablespoons butter
20,Caramel Apples,"6 apples||6 wooden craft sticks, cooking spray||1 (14 ounce) package individually wrapped caramels, unwrapped||2 tablespoons milk"
21,German Apple Cake,"1 cup vegetable oil||2 eggs||2 cups white sugar||1 teaspoon vanilla extract||2 cups all-purpose flour||2 teaspoons ground cinnamon||1 teaspoon baking soda||1/2 teaspoon salt||4 cups apples - peeled, cored and diced"
